impl,grid_size,num_threads,time
pth,32,4,0.002812
pth,32,4,0.002978
pth,32,4,0.002896
pth,32,4,0.003027
pth,32,8,0.006588
pth,32,8,0.006519
pth,32,8,0.006494
pth,32,8,0.006797
pth,32,8,0.006532
pth,32,8,0.006432
pth,32,8,0.006352
pth,32,8,0.007712
pth,32,8,0.006577
pth,32,8,0.006301
pth,32,8,0.006498
pth,32,8,0.006681
pth,32,8,0.006692
pth,32,8,0.006305
pth,32,8,0.006427
pth,32,16,0.014007
pth,32,16,0.014449
pth,32,16,0.014708
pth,32,16,0.014486
pth,32,16,0.014558
pth,32,16,0.013793
pth,32,16,0.013772
pth,32,16,0.014173
pth,32,16,0.014903
pth,32,16,0.014309
pth,32,16,0.015734
pth,32,16,0.015075
pth,32,16,0.015786
pth,32,16,0.016271
pth,32,16,0.016250
pth,32,32,0.033749
pth,32,32,0.034005
pth,32,32,0.035186
pth,32,32,0.036527
pth,32,32,0.034530
pth,32,32,0.036896
pth,32,32,0.037201
pth,32,32,0.037167
pth,32,32,0.037202
pth,32,32,0.035865
pth,32,32,0.035566
pth,32,32,0.037434
pth,32,32,0.037502
pth,32,32,0.038374
pth,32,32,0.037744
pth,64,1,0.006725
pth,64,1,0.007271
pth,64,1,0.007165
pth,64,1,0.007218
pth,64,1,0.007482
pth,64,1,0.006576
pth,64,1,0.006616
pth,64,1,0.006528
pth,64,1,0.006185
pth,64,1,0.006236
pth,64,1,0.006063
pth,64,1,0.006756
pth,64,1,0.006468
pth,64,1,0.006291
pth,64,1,0.006279
pth,64,2,0.004645
pth,64,2,0.004610
pth,64,2,0.004200
pth,64,2,0.004551
pth,64,2,0.004201
pth,64,2,0.004479
pth,64,2,0.004665
pth,64,2,0.004148
pth,64,2,0.004185
pth,64,2,0.004476
pth,64,2,0.004526
pth,64,2,0.004816
pth,64,2,0.004383
pth,64,2,0.004478
pth,64,2,0.004352
pth,64,4,0.005276
pth,64,4,0.005302
pth,64,4,0.005373
pth,64,4,0.005180
pth,64,4,0.005126
pth,64,4,0.005163
pth,64,4,0.005318
pth,64,4,0.005124
pth,64,4,0.005169
pth,64,4,0.005342
pth,64,4,0.005241
pth,64,4,0.005280
pth,64,4,0.005351
pth,64,4,0.005096
pth,64,4,0.005281
pth,64,8,0.009056
pth,64,8,0.008573
pth,64,8,0.008618
pth,64,8,0.008927
pth,64,8,0.008355
pth,64,8,0.009165
pth,64,8,0.009507
pth,64,8,0.009383
pth,64,8,0.008785
pth,64,8,0.009298
pth,64,8,0.008785
pth,64,8,0.008752
pth,64,8,0.008847
pth,64,8,0.009462
pth,64,8,0.010391
pth,64,16,0.019380
pth,64,16,0.018792
pth,64,16,0.018063
pth,64,16,0.019651
pth,64,16,0.019038
pth,64,16,0.018458
pth,64,16,0.018382
pth,64,16,0.018642
pth,64,16,0.018398
pth,64,16,0.019612
pth,64,16,0.020586
pth,64,16,0.018562
pth,64,16,0.020266
pth,64,16,0.019547
pth,64,16,0.019482
pth,64,32,0.039686
pth,64,32,0.037861
pth,64,32,0.037673
pth,64,32,0.039759
pth,64,32,0.038595
pth,64,32,0.037894
pth,64,32,0.037930
pth,64,32,0.039269
pth,64,32,0.037237
pth,64,32,0.037549
pth,64,32,0.037887
pth,64,32,0.038734
pth,64,32,0.038090
pth,64,32,0.039297
pth,64,32,0.038709
pth,128,1,0.024327
pth,128,1,0.023627
pth,128,1,0.023094
pth,128,1,0.023273
pth,128,1,0.022774
pth,128,1,0.022520
pth,128,1,0.022181
pth,128,1,0.022109
pth,128,1,0.021863
pth,128,1,0.021837
pth,128,1,0.021321
pth,128,1,0.021449
pth,128,1,0.021480
pth,128,1,0.021071
pth,128,1,0.020783
pth,128,2,0.012121
pth,128,2,0.010924
pth,128,2,0.011326
pth,128,2,0.011286
pth,128,2,0.011272
pth,128,2,0.011455
pth,128,2,0.011784
pth,128,2,0.011580
pth,128,2,0.011250
pth,128,2,0.011704
pth,128,2,0.010846
pth,128,2,0.011477
pth,128,2,0.012215
pth,128,2,0.011631
pth,128,2,0.011811
pth,128,4,0.009208
pth,128,4,0.008925
pth,128,4,0.009090
pth,128,4,0.009159
pth,128,4,0.009473
pth,128,4,0.009697
pth,128,4,0.009443
pth,128,4,0.009334
pth,128,4,0.009427
pth,128,4,0.009335
pth,128,4,0.009707
pth,128,4,0.009811
pth,128,4,0.009764
pth,128,4,0.009678
pth,128,4,0.009859
pth,128,8,0.012644
pth,128,8,0.013134
pth,128,8,0.013242
pth,128,8,0.013215
pth,128,8,0.013072
pth,128,8,0.013047
pth,128,8,0.013256
pth,128,8,0.013044
pth,128,8,0.013761
pth,128,8,0.014536
pth,128,8,0.014517
pth,128,8,0.014271
pth,128,8,0.014110
pth,128,8,0.013968
pth,128,8,0.013909
pth,128,16,0.022064
pth,128,16,0.021142
pth,128,16,0.021443
pth,128,16,0.021859
pth,128,16,0.021352
pth,128,16,0.022497
pth,128,16,0.022018
pth,128,16,0.022216
pth,128,16,0.021885
pth,128,16,0.022184
pth,128,16,0.022738
pth,128,16,0.022718
pth,128,16,0.022410
pth,128,16,0.022842
pth,128,16,0.023011
pth,128,32,0.042126
pth,128,32,0.041788
pth,128,32,0.041347
pth,128,32,0.041668
pth,128,32,0.042199
pth,128,32,0.041108
pth,128,32,0.041529
pth,128,32,0.042152
pth,128,32,0.041997
pth,128,32,0.041831
pth,128,32,0.041871
pth,128,32,0.042480
pth,128,32,0.041537
pth,128,32,0.043263
pth,128,32,0.040534
pth,256,1,0.084365
pth,256,1,0.078719
pth,256,1,0.075940
pth,256,1,0.072968
pth,256,1,0.071455
pth,256,1,0.070408
pth,256,1,0.068219
pth,256,1,0.068327
pth,256,1,0.066906
pth,256,1,0.066407
pth,256,1,0.066629
pth,256,1,0.066563
pth,256,1,0.066486
pth,256,1,0.066667
pth,256,1,0.066588
pth,256,2,0.035039
pth,256,2,0.037884
pth,256,2,0.036591
pth,256,2,0.037472
pth,256,2,0.038473
pth,256,2,0.038463
pth,256,2,0.039849
pth,256,2,0.039561
pth,256,2,0.039833
pth,256,2,0.040466
pth,256,2,0.040713
pth,256,2,0.040754
pth,256,2,0.040339
pth,256,2,0.041298
pth,256,2,0.040646
pth,256,4,0.024984
pth,256,4,0.025571
pth,256,4,0.026374
pth,256,4,0.027008
pth,256,4,0.027158
pth,256,4,0.027311
pth,256,4,0.028784
pth,256,4,0.027582
pth,256,4,0.027986
pth,256,4,0.028238
pth,256,4,0.029588
pth,256,4,0.029703
pth,256,4,0.030853
pth,256,4,0.028917
pth,256,4,0.028659
pth,256,8,0.032629
pth,256,8,0.032360
pth,256,8,0.033120
pth,256,8,0.033580
pth,256,8,0.033870
pth,256,8,0.034499
pth,256,8,0.033517
pth,256,8,0.033714
pth,256,8,0.034697
pth,256,8,0.033282
pth,256,8,0.033897
pth,256,8,0.033884
pth,256,8,0.033596
